ablation,parameter,samples,variance_explained,k,f1_mean,f1_std,kernel_time_sec
pca_components,10,500,0.9626,15,0.9181,0.02,2.8
pca_components,10,500,0.9626,20,0.9479,0.012,2.8
pca_components,10,500,0.9626,25,0.9458,0.02,2.8
pca_components,15,500,0.9873,15,0.9281,0.007,12.9
pca_components,15,500,0.9873,20,0.9479,0.012,12.9
pca_components,15,500,0.9873,25,0.9458,0.013,12.9
pca_components,20,500,0.9959,15,0.9314,0.011,605.7
pca_components,20,500,0.9959,20,0.946,0.015,605.7
pca_components,20,500,0.9959,25,0.9497,0.013,605.7
pca_components,25,100,1.0,15,0.935,0.02,
pca_components,25,100,1.0,20,0.9423,0.016,
pca_components,25,100,1.0,25,0.9497,0.015,
feature_map_reps,1,500,0.9959,15,0.9314,0.011,622.7
feature_map_reps,1,500,0.9959,20,0.946,0.015,622.7
feature_map_reps,1,500,0.9959,25,0.9497,0.013,622.7
feature_map_reps,2,500,0.9959,15,0.9534,0.017,1118.1
feature_map_reps,2,500,0.9959,20,0.9517,0.015,1118.1
feature_map_reps,2,500,0.9959,25,0.9582,0.013,1118.1
entanglement,linear,500,0.9959,15,0.9314,0.011,577.4
entanglement,linear,500,0.9959,20,0.946,0.015,577.4
entanglement,linear,500,0.9959,25,0.9497,0.013,577.4
entanglement,circular,500,0.9959,15,0.9314,0.011,593.5
entanglement,circular,500,0.9959,20,0.946,0.015,593.5
entanglement,circular,500,0.9959,25,0.9574,0.009,593.5
