ablation,parameter,k,f1_mean,f1_std,variance_explained,kernel_time
feature_map_reps,1,15,0.9313535958093595,0.011106560935606616,0.9959078994983955,622.7149796485901
feature_map_reps,1,20,0.946036786300793,0.014584243464669203,0.9959078994983955,622.7149796485901
feature_map_reps,1,25,0.9496829911151353,0.013438675548141954,0.9959078994983955,622.7149796485901
feature_map_reps,2,15,0.9533743285180266,0.01681410382598054,0.9959078994983955,1118.0859231948853
feature_map_reps,2,20,0.9516982997695139,0.014732521867130408,0.9959078994983955,1118.0859231948853
feature_map_reps,2,25,0.9582119960150312,0.013068736299418024,0.9959078994983955,1118.0859231948853
entanglement,linear,15,0.9313535958093595,0.011106560935606616,0.9959078994983955,577.3614640235901
entanglement,linear,20,0.946036786300793,0.014584243464669203,0.9959078994983955,577.3614640235901
entanglement,linear,25,0.9496829911151353,0.013438675548141954,0.9959078994983955,577.3614640235901
entanglement,circular,15,0.9313535958093595,0.011106560935606616,0.9959078994983955,593.5089068412781
entanglement,circular,20,0.946036786300793,0.014584243464669203,0.9959078994983955,593.5089068412781
entanglement,circular,25,0.9574028321456629,0.009339772098615464,0.9959078994983955,593.5089068412781
