selection,k,classifier,accuracy,precision,recall,f1,auc_roc,fpr_at_95_tpr
quantum,5,ocsvm,0.81,0.918918918918919,0.68,0.7816091954022989,0.7938000000000001,0.93
quantum,5,iforest,0.79,0.9264705882352942,0.63,0.75,0.8271000000000001,0.7
quantum,5,rf,0.85,1.0,0.7,0.8235294117647058,0.8082,0.82
quantum,5,svm,0.84,1.0,0.68,0.8095238095238095,0.7754000000000001,0.9
variance,5,ocsvm,0.71,0.71,0.71,0.71,0.8111999999999999,0.94
variance,5,iforest,0.8,0.8409090909090909,0.74,0.7872340425531915,0.90925,0.38
variance,5,rf,0.88,0.9523809523809523,0.8,0.8695652173913043,0.9616,0.12
variance,5,svm,0.83,1.0,0.66,0.7951807228915663,0.9486,0.24
correlation,5,ocsvm,0.81,0.918918918918919,0.68,0.7816091954022989,0.7938000000000001,0.93
correlation,5,iforest,0.79,0.9264705882352942,0.63,0.75,0.8271000000000001,0.7
correlation,5,rf,0.85,1.0,0.7,0.8235294117647058,0.8082,0.82
correlation,5,svm,0.84,1.0,0.68,0.8095238095238095,0.7754000000000001,0.9
random,5,ocsvm,0.825,0.8350515463917526,0.81,0.8223350253807107,0.8861999999999999,0.59
random,5,iforest,0.77,0.8292682926829268,0.68,0.7472527472527473,0.8656,0.78
random,5,rf,0.86,0.9736842105263158,0.74,0.8409090909090909,0.8782000000000001,0.8
random,5,svm,0.84,1.0,0.68,0.8095238095238095,0.8924000000000001,0.68
quantum,10,ocsvm,0.815,0.8539325842696629,0.76,0.8042328042328042,0.8412999999999999,0.8
quantum,10,iforest,0.785,0.8518518518518519,0.69,0.7624309392265194,0.8428000000000001,0.79
quantum,10,rf,0.84,1.0,0.68,0.8095238095238095,0.9536000000000001,0.24
quantum,10,svm,0.84,1.0,0.68,0.8095238095238095,0.8956000000000001,0.52
variance,10,ocsvm,0.78,0.8255813953488372,0.71,0.7634408602150538,0.7607000000000002,0.94
variance,10,iforest,0.825,0.891566265060241,0.74,0.8087431693989071,0.8979,0.43
variance,10,rf,0.86,1.0,0.72,0.8372093023255814,0.9752000000000001,0.14
variance,10,svm,0.83,1.0,0.66,0.7951807228915663,0.9424,0.28
correlation,10,ocsvm,0.815,0.8539325842696629,0.76,0.8042328042328042,0.8412999999999999,0.8
correlation,10,iforest,0.785,0.8518518518518519,0.69,0.7624309392265194,0.8428000000000001,0.79
correlation,10,rf,0.84,1.0,0.68,0.8095238095238095,0.9536000000000001,0.24
correlation,10,svm,0.84,1.0,0.68,0.8095238095238095,0.8956000000000001,0.52
random,10,ocsvm,0.8,0.8333333333333334,0.75,0.7894736842105263,0.8848,0.59
random,10,iforest,0.815,0.8987341772151899,0.71,0.7932960893854749,0.8856999999999999,0.6
random,10,rf,0.9,1.0,0.8,0.8888888888888888,0.9563999999999999,0.26
random,10,svm,0.83,1.0,0.66,0.7951807228915663,0.9116,0.46
quantum,15,ocsvm,0.815,0.8181818181818182,0.81,0.8140703517587939,0.8702,0.57
quantum,15,iforest,0.825,0.8735632183908046,0.76,0.8128342245989305,0.8987,0.52
quantum,15,rf,0.87,1.0,0.74,0.8505747126436781,0.9787999999999999,0.12
