k,comparison,classifier,mean_diff,t_pvalue,t_significant,wilcoxon_pvalue,wilcoxon_significant
5,quantum_vs_variance,ocsvm,0.2714398816045246,0.11491562986266045,False,0.0625,False
5,quantum_vs_variance,iforest,-0.0036719698921590105,0.6643502265995029,False,0.625,False
5,quantum_vs_variance,rf,0.03196955198868423,0.04882111092754253,True,0.125,False
5,quantum_vs_variance,svm,0.0274555306729789,0.06054077340077298,False,0.125,False
5,quantum_vs_correlation,ocsvm,0.0,,False,1.0,False
5,quantum_vs_correlation,iforest,0.0,,False,1.0,False
5,quantum_vs_correlation,rf,0.0,,False,1.0,False
5,quantum_vs_correlation,svm,0.0,,False,1.0,False
5,quantum_vs_random,ocsvm,0.010810378417228317,0.6296334537011246,False,0.8125,False
5,quantum_vs_random,iforest,-0.0033170754727727125,0.8215491409702652,False,1.0,False
5,quantum_vs_random,rf,-0.03637190261903134,0.029118917566922378,True,0.0625,False
5,quantum_vs_random,svm,0.023586924537989162,0.10967733746484568,False,0.1875,False
10,quantum_vs_variance,ocsvm,0.10515053192255941,0.2690944332735619,False,0.1875,False
10,quantum_vs_variance,iforest,-0.009215944297657486,0.48248394457039434,False,0.4375,False
10,quantum_vs_variance,rf,0.006261353296428407,0.49358628596694676,False,0.625,False
10,quantum_vs_variance,svm,0.042074838297773476,0.0494810849469506,True,0.0625,False
10,quantum_vs_correlation,ocsvm,-0.005808771685894887,0.4307732119569099,False,0.625,False
10,quantum_vs_correlation,iforest,0.015842102263326274,0.030950069383459903,True,0.125,False
10,quantum_vs_correlation,rf,0.011033829689985009,0.0602975042806931,False,0.0625,False
10,quantum_vs_correlation,svm,0.006390297730436978,0.13297236686716363,False,0.125,False
10,quantum_vs_random,ocsvm,0.018155290200906893,0.19333162240394317,False,0.1875,False
10,quantum_vs_random,iforest,-0.013874853397724984,0.4185695707446404,False,0.625,False
10,quantum_vs_random,rf,0.0037740651886897236,0.7451797521317395,False,0.625,False
10,quantum_vs_random,svm,0.034432539658208805,0.00962654981067536,True,0.0625,False
15,quantum_vs_variance,ocsvm,0.04471376190491494,0.043813819473617364,True,0.0625,False
15,quantum_vs_variance,iforest,0.0105937217416332,0.0820032865471276,False,0.125,False
15,quantum_vs_variance,rf,0.0024478299995417396,0.7277783082438255,False,0.625,False
15,quantum_vs_variance,svm,0.08656323727707815,0.0005927125171666522,True,0.0625,False
15,quantum_vs_correlation,ocsvm,0.002617803726705059,0.18762274989441513,False,0.5,False
15,quantum_vs_correlation,iforest,0.0022672952610536257,0.7451447299579127,False,1.0,False
15,quantum_vs_correlation,rf,-0.012094186962038789,0.08786798832511342,False,0.1875,False
15,quantum_vs_correlation,svm,0.0033473747854182445,0.2118118601941419,False,0.5,False
15,quantum_vs_random,ocsvm,0.042064225929172805,0.012829429387755008,True,0.0625,False
15,quantum_vs_random,iforest,-0.00046888373536846384,0.9746680204665339,False,1.0,False
15,quantum_vs_random,rf,-0.008838098202091138,0.2935086466062085,False,0.4375,False
